WGS84 UTM 18N
587110 4517007
-1.061768908 3.830883083 2
1.339615475 -1.075219998 0
1.804639113 -0.7613438535 19
1.339615475 -1.075219998 0
-0.3406275724 2.297380808 20
1.339615475 -1.075219998 15
1.339615475 -1.075219998 0
1.339615475 -1.075219998 0
1.339615475 -1.075219998 0
1.804639113 -0.7613438535 19
-0.5858503374 3.219690027 9
1.339615475 -1.075219998 0
1.804639113 -0.7613438535 19
-0.5858503374 3.219690027 9
1.339615475 -1.075219998 39
-0.3406275724 2.297380808 20
1.339615475 -1.075219998 0
1.339615475 -1.075219998 12
-0.1062999544 2.300140649 5
-0.5858503374 3.219690027 9
1.339615475 -1.075219998 0
1.339615475 -1.075219998 0
1.804639113 -0.7613438535 19
1.339615475 -1.075219998 15
1.339615475 -1.075219998 0
1.339615475 -1.075219998 15
